Mean score,STD score,data,model
339.484714511,359.284935534,../data/LS/LS-L2-biomarkers.csv,Elastic Net
223.845489803,127.250906693,../data/LS/LS-L2-biomarkers.csv,Linear SVM
228.142260476,125.84949426,../data/LS/LS-L2-biomarkers.csv,RBF SVM
298.568906667,176.158757033,../data/LS/LS-L2-biomarkers.csv,RF
282.022666667,160.444705593,../data/LS/LS-L2-biomarkers.csv,KNN
252.379801587,128.157434674,../data/LS/LS-L2-biomarkers.csv,Metric KNN
341.726344264,364.718389061,../data/LS/LS-L3-biomarkers.csv,Elastic Net
222.871373991,126.357425775,../data/LS/LS-L3-biomarkers.csv,Linear SVM
220.727628691,124.29148315,../data/LS/LS-L3-biomarkers.csv,RBF SVM
289.48297,196.013747381,../data/LS/LS-L3-biomarkers.csv,RF
285.185916667,136.809034073,../data/LS/LS-L3-biomarkers.csv,KNN
245.724087302,126.609035543,../data/LS/LS-L3-biomarkers.csv,Metric KNN
341.314958178,363.558779102,../data/LS/LS-L4-biomarkers.csv,Elastic Net
222.076325137,126.412175431,../data/LS/LS-L4-biomarkers.csv,Linear SVM
219.72335682,124.378861583,../data/LS/LS-L4-biomarkers.csv,RBF SVM
302.54351,185.54451518,../data/LS/LS-L4-biomarkers.csv,RF
282.029583333,124.156403135,../data/LS/LS-L4-biomarkers.csv,KNN
244.799952381,111.933608592,../data/LS/LS-L4-biomarkers.csv,Metric KNN
333.14904582,344.161187002,../data/LS/LS-L5-biomarkers.csv,Elastic Net
214.931265145,129.071995636,../data/LS/LS-L5-biomarkers.csv,Linear SVM
217.496071632,130.041892212,../data/LS/LS-L5-biomarkers.csv,RBF SVM
310.952706667,184.826806404,../data/LS/LS-L5-biomarkers.csv,RF
236.249808201,140.563635093,../data/LS/LS-L5-biomarkers.csv,KNN
266.395669312,156.074140982,../data/LS/LS-L5-biomarkers.csv,Metric KNN
233.782443323,121.28790382,../data/LS/LS-L6-biomarkers.csv,Elastic Net
228.36830164,129.718562894,../data/LS/LS-L6-biomarkers.csv,Linear SVM
222.303967554,110.509644971,../data/LS/LS-L6-biomarkers.csv,RBF SVM
281.589996667,165.515966396,../data/LS/LS-L6-biomarkers.csv,RF
257.487777778,132.758197275,../data/LS/LS-L6-biomarkers.csv,KNN
244.88812963,144.455522329,../data/LS/LS-L6-biomarkers.csv,Metric KNN
