Mean score,STD score,data,model
75.2005106275,38.4930228035,../data/LS/LS-L2-biomarkers.csv,Elastic Net
92.9572222701,58.6955172359,../data/LS/LS-L2-biomarkers.csv,Linear SVM
72.7270399116,32.9343544289,../data/LS/LS-L2-biomarkers.csv,RBF SVM
80.3040866667,32.6889649095,../data/LS/LS-L2-biomarkers.csv,RF
83.304,30.7140637277,../data/LS/LS-L2-biomarkers.csv,KNN
84.4127222222,28.9244046776,../data/LS/LS-L2-biomarkers.csv,Metric KNN
72.4948947394,38.3873216182,../data/LS/LS-L3-biomarkers.csv,Elastic Net
82.9333698594,49.2581356586,../data/LS/LS-L3-biomarkers.csv,Linear SVM
86.834059626,35.7150202351,../data/LS/LS-L3-biomarkers.csv,RBF SVM
74.5417766667,38.4172272095,../data/LS/LS-L3-biomarkers.csv,RF
83.1446666667,33.1147074811,../data/LS/LS-L3-biomarkers.csv,KNN
63.0237010582,36.3851293279,../data/LS/LS-L3-biomarkers.csv,Metric KNN
72.4721024617,38.3977888806,../data/LS/LS-L4-biomarkers.csv,Elastic Net
82.4019915162,49.7160105576,../data/LS/LS-L4-biomarkers.csv,Linear SVM
79.7074684512,36.1692943933,../data/LS/LS-L4-biomarkers.csv,RBF SVM
75.94346,37.586251031,../data/LS/LS-L4-biomarkers.csv,RF
77.1715555556,35.6663216224,../data/LS/LS-L4-biomarkers.csv,KNN
65.3015092593,37.862893266,../data/LS/LS-L4-biomarkers.csv,Metric KNN
75.9049590443,36.7369891315,../data/LS/LS-L5-biomarkers.csv,Elastic Net
88.1432051637,42.4044851239,../data/LS/LS-L5-biomarkers.csv,Linear SVM
78.1359815947,46.4867983232,../data/LS/LS-L5-biomarkers.csv,RBF SVM
78.7775866667,34.6507725728,../data/LS/LS-L5-biomarkers.csv,RF
84.481962963,44.480317646,../data/LS/LS-L5-biomarkers.csv,KNN
70.1246269841,40.0590032642,../data/LS/LS-L5-biomarkers.csv,Metric KNN
74.4760567329,36.9257206917,../data/LS/LS-L6-biomarkers.csv,Elastic Net
87.4655084681,41.3814660837,../data/LS/LS-L6-biomarkers.csv,Linear SVM
75.0509420353,37.1306561093,../data/LS/LS-L6-biomarkers.csv,RBF SVM
69.3474333333,35.9467516782,../data/LS/LS-L6-biomarkers.csv,RF
76.6728148148,38.2237968543,../data/LS/LS-L6-biomarkers.csv,KNN
71.7858888889,37.5571862789,../data/LS/LS-L6-biomarkers.csv,Metric KNN
