Mean score,STD score,data,model
516.169538865,316.074024948,../data/LS/LS-L2-biomarkers.csv,Elastic Net
445.007815215,378.333451281,../data/LS/LS-L2-biomarkers.csv,Linear SVM
486.407906985,383.197653157,../data/LS/LS-L2-biomarkers.csv,RBF SVM
557.600866667,315.675500889,../data/LS/LS-L2-biomarkers.csv,RF
571.422037037,348.183466426,../data/LS/LS-L2-biomarkers.csv,KNN
489.152103175,394.225665766,../data/LS/LS-L2-biomarkers.csv,Metric KNN
524.059893321,292.177782846,../data/LS/LS-L3-biomarkers.csv,Elastic Net
448.021346452,374.030558137,../data/LS/LS-L3-biomarkers.csv,Linear SVM
469.116764281,346.296712531,../data/LS/LS-L3-biomarkers.csv,RBF SVM
586.192766667,298.003926584,../data/LS/LS-L3-biomarkers.csv,RF
574.341164021,324.555206536,../data/LS/LS-L3-biomarkers.csv,KNN
510.9625,329.958117622,../data/LS/LS-L3-biomarkers.csv,Metric KNN
523.349868753,291.81285587,../data/LS/LS-L4-biomarkers.csv,Elastic Net
447.996409594,374.079680639,../data/LS/LS-L4-biomarkers.csv,Linear SVM
467.97336762,349.952952502,../data/LS/LS-L4-biomarkers.csv,RBF SVM
587.494266667,310.22542787,../data/LS/LS-L4-biomarkers.csv,RF
572.774497354,325.557977365,../data/LS/LS-L4-biomarkers.csv,KNN
480.737169312,324.154499523,../data/LS/LS-L4-biomarkers.csv,Metric KNN
506.898106006,303.539222435,../data/LS/LS-L5-biomarkers.csv,Elastic Net
443.554344021,382.825749047,../data/LS/LS-L5-biomarkers.csv,Linear SVM
452.295686156,378.31257091,../data/LS/LS-L5-biomarkers.csv,RBF SVM
565.4417,300.493203151,../data/LS/LS-L5-biomarkers.csv,RF
504.164444444,309.039247226,../data/LS/LS-L5-biomarkers.csv,KNN
475.005886243,338.767726922,../data/LS/LS-L5-biomarkers.csv,Metric KNN
480.590789043,304.299189172,../data/LS/LS-L6-biomarkers.csv,Elastic Net
442.672453781,384.123668418,../data/LS/LS-L6-biomarkers.csv,Linear SVM
461.592637768,365.012229128,../data/LS/LS-L6-biomarkers.csv,RBF SVM
569.3055,274.730958407,../data/LS/LS-L6-biomarkers.csv,RF
525.892592593,275.510884536,../data/LS/LS-L6-biomarkers.csv,KNN
442.635277778,342.808190529,../data/LS/LS-L6-biomarkers.csv,Metric KNN
