Mean score,STD score,data,model
4.27812846897,1.15568530547,../data/LS/LS-L2-biomarkers.csv,Elastic Net
3.99920189963,2.19366819823,../data/LS/LS-L2-biomarkers.csv,Linear SVM
4.40899668026,1.50652424065,../data/LS/LS-L2-biomarkers.csv,RBF SVM
4.184275,1.57975704094,../data/LS/LS-L2-biomarkers.csv,RF
4.34,1.47652369511,../data/LS/LS-L2-biomarkers.csv,KNN
3.99384920635,1.49908808732,../data/LS/LS-L2-biomarkers.csv,Metric KNN
4.9206293728,3.29380146324,../data/LS/LS-L3-biomarkers.csv,Elastic Net
3.95986530951,2.19558232588,../data/LS/LS-L3-biomarkers.csv,Linear SVM
5.06570432416,2.4482084439,../data/LS/LS-L3-biomarkers.csv,RBF SVM
4.10839166667,1.59567079331,../data/LS/LS-L3-biomarkers.csv,RF
4.36833333333,1.28894228817,../data/LS/LS-L3-biomarkers.csv,KNN
4.10119047619,1.38027487486,../data/LS/LS-L3-biomarkers.csv,Metric KNN
5.02349100041,3.59713125919,../data/LS/LS-L4-biomarkers.csv,Elastic Net
5.72958191747,4.60829975225,../data/LS/LS-L4-biomarkers.csv,Linear SVM
5.77720558299,4.57879962569,../data/LS/LS-L4-biomarkers.csv,RBF SVM
4.20909166667,1.56899768538,../data/LS/LS-L4-biomarkers.csv,RF
4.385,1.3213776481,../data/LS/LS-L4-biomarkers.csv,KNN
3.68507936508,1.90841847437,../data/LS/LS-L4-biomarkers.csv,Metric KNN
4.21323400561,1.17677144418,../data/LS/LS-L5-biomarkers.csv,Elastic Net
4.4041627925,1.81183723482,../data/LS/LS-L5-biomarkers.csv,Linear SVM
4.12781524316,1.29795368528,../data/LS/LS-L5-biomarkers.csv,RBF SVM
4.36353333333,1.57869706615,../data/LS/LS-L5-biomarkers.csv,RF
4.46259259259,1.5216681541,../data/LS/LS-L5-biomarkers.csv,KNN
3.67180555556,2.28405943189,../data/LS/LS-L5-biomarkers.csv,Metric KNN
4.03238635576,1.50558586933,../data/LS/LS-L6-biomarkers.csv,Elastic Net
3.98064897612,2.17253800986,../data/LS/LS-L6-biomarkers.csv,Linear SVM
5.00161469805,3.13385476203,../data/LS/LS-L6-biomarkers.csv,RBF SVM
4.18643333333,1.75403600218,../data/LS/LS-L6-biomarkers.csv,RF
4.58518518519,1.36869842951,../data/LS/LS-L6-biomarkers.csv,KNN
3.64107142857,1.91486540989,../data/LS/LS-L6-biomarkers.csv,Metric KNN
