Mean score,STD score,data,model
228.524711548,76.7152854881,../data/LS/LS-L2-biomarkers.csv,Elastic Net
218.791879696,77.9875326299,../data/LS/LS-L2-biomarkers.csv,Linear SVM
217.255377818,78.2207538675,../data/LS/LS-L2-biomarkers.csv,RBF SVM
261.50711,81.9310926289,../data/LS/LS-L2-biomarkers.csv,RF
230.472407407,83.8812958186,../data/LS/LS-L2-biomarkers.csv,KNN
229.16677388,76.671160833,../data/LS/LS-L3-biomarkers.csv,Elastic Net
220.647909956,77.7480912536,../data/LS/LS-L3-biomarkers.csv,Linear SVM
222.626989208,80.6024655964,../data/LS/LS-L3-biomarkers.csv,RBF SVM
241.35829,79.3212770217,../data/LS/LS-L3-biomarkers.csv,RF
241.753518519,113.507234084,../data/LS/LS-L3-biomarkers.csv,KNN
229.164223492,76.6710734712,../data/LS/LS-L4-biomarkers.csv,Elastic Net
221.370478671,77.9384860643,../data/LS/LS-L4-biomarkers.csv,Linear SVM
238.491550296,96.1428937203,../data/LS/LS-L4-biomarkers.csv,RBF SVM
269.656926667,87.5597801435,../data/LS/LS-L4-biomarkers.csv,RF
241.753518519,113.507234084,../data/LS/LS-L4-biomarkers.csv,KNN
227.937684667,79.5147208659,../data/LS/LS-L5-biomarkers.csv,Elastic Net
205.527194514,78.0106451038,../data/LS/LS-L5-biomarkers.csv,Linear SVM
207.504268925,80.2917024429,../data/LS/LS-L5-biomarkers.csv,RBF SVM
250.59586,88.8848168086,../data/LS/LS-L5-biomarkers.csv,RF
219.868981481,94.4422909719,../data/LS/LS-L5-biomarkers.csv,KNN
224.503796459,76.1376764741,../data/LS/LS-L6-biomarkers.csv,Elastic Net
219.714757401,78.3561643174,../data/LS/LS-L6-biomarkers.csv,Linear SVM
235.14627982,73.8770791139,../data/LS/LS-L6-biomarkers.csv,RBF SVM
255.042283333,75.7671013668,../data/LS/LS-L6-biomarkers.csv,RF
235.441648148,78.0112216114,../data/LS/LS-L6-biomarkers.csv,KNN
