Mean score,STD score,data,model
470.285854847,555.489981456,../data/LS/LS-L5-biomarkers.csv,Elastic Net
451.874980238,606.480904658,../data/LS/LS-L5-biomarkers.csv,Linear SVM
499.431266894,600.611468121,../data/LS/LS-L5-biomarkers.csv,RBF SVM
549.740051724,511.176861466,../data/LS/LS-L5-biomarkers.csv,RF
496.863122605,569.092019705,../data/LS/LS-L5-biomarkers.csv,KNN
470.58697318,601.199463554,../data/LS/LS-L5-biomarkers.csv,Metric KNN
479.848871012,546.367188892,../data/LS/LS-L2-biomarkers.csv,Elastic Net
456.387766242,588.82362057,../data/LS/LS-L2-biomarkers.csv,Linear SVM
481.741401348,588.718660551,../data/LS/LS-L2-biomarkers.csv,RBF SVM
498.20112069,573.577005635,../data/LS/LS-L2-biomarkers.csv,RF
539.523563218,576.305811858,../data/LS/LS-L2-biomarkers.csv,KNN
479.99514231,577.908703896,../data/LS/LS-L2-biomarkers.csv,Metric KNN
460.303242973,495.40877837,../data/LS/LS-L6-biomarkers.csv,Elastic Net
446.297156962,606.66556029,../data/LS/LS-L6-biomarkers.csv,Linear SVM
476.851821967,587.192448238,../data/LS/LS-L6-biomarkers.csv,RBF SVM
535.785034483,530.763149819,../data/LS/LS-L6-biomarkers.csv,RF
475.464750958,526.7202957,../data/LS/LS-L6-biomarkers.csv,KNN
470.712082649,610.887754707,../data/LS/LS-L6-biomarkers.csv,Metric KNN
507.787585369,525.737476208,../data/LS/LS-L4-biomarkers.csv,Elastic Net
468.80686778,598.264474296,../data/LS/LS-L4-biomarkers.csv,Linear SVM
451.249871751,575.005125361,../data/LS/LS-L4-biomarkers.csv,RBF SVM
527.04137931,586.096596158,../data/LS/LS-L4-biomarkers.csv,RF
543.881800766,554.181480641,../data/LS/LS-L4-biomarkers.csv,KNN
456.280678708,539.960666419,../data/LS/LS-L4-biomarkers.csv,Metric KNN
508.926873776,520.939418453,../data/LS/LS-L3-biomarkers.csv,Elastic Net
469.437049223,598.045399717,../data/LS/LS-L3-biomarkers.csv,Linear SVM
467.240450273,595.601146541,../data/LS/LS-L3-biomarkers.csv,RBF SVM
520.795793103,578.118310518,../data/LS/LS-L3-biomarkers.csv,RF
532.78802682,554.865656732,../data/LS/LS-L3-biomarkers.csv,KNN
495.364449918,550.248296079,../data/LS/LS-L3-biomarkers.csv,Metric KNN
