Mean score,STD score,data,model
293.888245791,406.058294826,../data/LS/LS-L5-biomarkers.csv,Elastic Net
213.114110357,273.162674325,../data/LS/LS-L5-biomarkers.csv,Linear SVM
216.30981283,282.402094623,../data/LS/LS-L5-biomarkers.csv,RBF SVM
264.91685,285.819669319,../data/LS/LS-L5-biomarkers.csv,RF
215.930829228,285.048209776,../data/LS/LS-L5-biomarkers.csv,KNN
257.136921182,275.559220254,../data/LS/LS-L5-biomarkers.csv,Metric KNN
296.148436423,400.962951538,../data/LS/LS-L2-biomarkers.csv,Elastic Net
213.307480584,272.657959938,../data/LS/LS-L2-biomarkers.csv,Linear SVM
209.485255535,274.179192475,../data/LS/LS-L2-biomarkers.csv,RBF SVM
268.089934483,297.937841566,../data/LS/LS-L2-biomarkers.csv,RF
259.068226601,259.490838732,../data/LS/LS-L2-biomarkers.csv,KNN
235.179604543,275.91258365,../data/LS/LS-L2-biomarkers.csv,Metric KNN
232.09610734,253.898926114,../data/LS/LS-L6-biomarkers.csv,Elastic Net
214.961385545,266.832741138,../data/LS/LS-L6-biomarkers.csv,Linear SVM
304.786192777,243.42548821,../data/LS/LS-L6-biomarkers.csv,RBF SVM
260.172434483,270.553981622,../data/LS/LS-L6-biomarkers.csv,RF
237.107931034,268.647250159,../data/LS/LS-L6-biomarkers.csv,KNN
224.842569787,268.810415217,../data/LS/LS-L6-biomarkers.csv,Metric KNN
294.585341302,405.642041182,../data/LS/LS-L4-biomarkers.csv,Elastic Net
212.21816989,275.351503298,../data/LS/LS-L4-biomarkers.csv,Linear SVM
216.597747835,282.153906464,../data/LS/LS-L4-biomarkers.csv,RBF SVM
247.661717241,267.696024983,../data/LS/LS-L4-biomarkers.csv,RF
272.567126437,265.779429021,../data/LS/LS-L4-biomarkers.csv,KNN
249.008065134,278.180339433,../data/LS/LS-L4-biomarkers.csv,Metric KNN
294.753058368,406.534860451,../data/LS/LS-L3-biomarkers.csv,Elastic Net
214.155244442,275.69489083,../data/LS/LS-L3-biomarkers.csv,Linear SVM
214.76020471,276.498030374,../data/LS/LS-L3-biomarkers.csv,RBF SVM
233.190486207,267.162512424,../data/LS/LS-L3-biomarkers.csv,RF
267.351034483,262.192338776,../data/LS/LS-L3-biomarkers.csv,KNN
243.753955939,268.965648968,../data/LS/LS-L3-biomarkers.csv,Metric KNN
